Title,Price,Image URL,Product URL,Description,SKU,Stock
Bulbasaur,£63.00,https://scrapeme.live/wp-content/uploads/2018/08/001-350x350.png,https://scrapeme.live/shop/Bulbasaur/,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",4391,45 in stock
Ivysaur,£87.00,https://scrapeme.live/wp-content/uploads/2018/08/002-350x350.png,https://scrapeme.live/shop/Ivysaur/,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",7227,142 in stock
Venusaur,£105.00,https://scrapeme.live/wp-content/uploads/2018/08/003-350x350.png,https://scrapeme.live/shop/Venusaur/,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,7036,30 in stock
Charmander,£48.00,https://scrapeme.live/wp-content/uploads/2018/08/004-350x350.png,https://scrapeme.live/shop/Charmander/,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",9086,206 in stock
Charmeleon,£165.00,https://scrapeme.live/wp-content/uploads/2018/08/005-350x350.png,https://scrapeme.live/shop/Charmeleon/,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",6565,284 in stock
Charizard,£156.00,https://scrapeme.live/wp-content/uploads/2018/08/006-350x350.png,https://scrapeme.live/shop/Charizard/,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",8840,31 in stock
Squirtle,£130.00,https://scrapeme.live/wp-content/uploads/2018/08/007-350x350.png,https://scrapeme.live/shop/Squirtle/,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",6094,178 in stock
Wartortle,£123.00,https://scrapeme.live/wp-content/uploads/2018/08/008-350x350.png,https://scrapeme.live/shop/Wartortle/,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",9659,24 in stock
Blastoise,£76.00,https://scrapeme.live/wp-content/uploads/2018/08/009-350x350.png,https://scrapeme.live/shop/Blastoise/,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,5212,88 in stock
Caterpie,£73.00,https://scrapeme.live/wp-content/uploads/2018/08/010-350x350.png,https://scrapeme.live/shop/Caterpie/,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",7492,40 in stock
